CO,PT08.S1,PT08.S2,PT08.S3,PT08.S4,PT08.S5,T,RH,AH
2,1069,931,782,1054,1110,4.5,53,0.4495
3.2,1137,1066,681,1151,1258,4.8,53.1,0.4605
2.3,1009,926,791,1015,1080,7.8,42,0.4464
1.8,962,877,841,969,949,9.3,37.6,0.4391
2.1,972,909,827,1012,894,10,34.2,0.4212
1.9,968,920,831,991,882,10.3,32.6,0.4094
2.4,939,902,884,969,872,9.8,31.8,0.3858
2.1,901,843,1061,907,751,9.8,30.3,0.3658
2.8,975,938,874,989,928,9.6,29.6,0.3545
3.3,1028,1025,774,1024,1160,8.1,32.5,0.3516
2.9,998,972,806,984,1090,6.8,36.1,0.3575
3.9,1094,1105,708,1086,1274,6.4,36.5,0.3519
4.1,1128,1161,672,1163,1340,5.9,37.8,0.3528
3.3,1111,1030,751,1033,1271,5.1,40.7,0.3621
3.3,1121,1023,725,1053,1354,4.8,45.1,0.3925
1.9,956,796,915,861,1084,4.5,43.9,0.3728
2,973,785,916,883,1086,5.2,44.1,0.3939
1.9,952,790,921,896,1038,4.3,46.4,0.3896
2.1,969,773,889,914,1064,3,52.5,0.4021
1.3,874,657,985,867,930,1.5,61.4,0.4235
1.1,806,554,1206,807,783,4,50.4,0.4154
1.2,874,623,1096,847,831,2.8,55.2,0.4177
1.8,961,779,917,960,983,1.2,61.4,0.4159
3.6,1195,1096,668,1166,1315,1.4,61.3,0.4208
3.7,1184,1148,651,1178,1389,2.2,58.1,0.4218
3.4,1135,1076,685,1120,1396,4.3,49.4,0.4138
4,1211,1177,620,1221,1585,6.6,42.5,0.416
3.8,1228,1178,621,1202,1628,8,38.3,0.4133
4.1,1247,1188,598,1237,1692,9.1,36.1,0.4172
4.9,1336,1256,567,1320,1828,10,34.7,0.4259
3.3,1205,1079,652,1168,1476,11,33,0.4331
4.3,1305,1238,565,1325,1640,11.3,33.6,0.4504
6.6,1568,1528,455,1661,2046,9.4,41.3,0.4888
8.5,1630,1622,421,1757,2238,8,45.9,0.4936
8.7,1704,1689,402,1820,2480,7.1,50.3,0.51
9.1,1701,1692,402,1832,2415,6.2,56.9,0.5419
7.2,1564,1462,472,1574,2181,6.3,57.9,0.5575
5,1441,1314,517,1389,2051,6.2,56.8,0.5421
4.2,1376,1209,549,1283,2041,6.1,54.7,0.5201
4.6,1412,1216,543,1300,2059,6,55.6,0.5244
3.9,1352,1137,567,1234,2016,5.1,59,0.5248
3.4,1285,1052,605,1164,1967,5.1,58.4,0.517
2.4,1200,929,664,1082,1847,4.2,63.1,0.5259
2.5,1187,931,669,1093,1792,4.3,64.1,0.537
3.5,1166,909,691,1079,1680,4.8,61.9,0.537
3.9,1209,958,666,1124,1662,5.3,61.1,0.5499
4.8,1349,1136,575,1299,1810,5.7,61.3,0.5657
6.1,1458,1307,497,1483,2103,6.1,60.5,0.5719
6.6,1462,1263,510,1421,2082,6.7,59.7,0.589
6.5,1448,1263,511,1428,1971,7.2,58.6,0.5986
6,1419,1254,524,1406,1950,8,55.9,0.6018
6.9,1561,1425,465,1624,2101,9.8,52.4,0.6349
7.9,1558,1375,471,1563,2112,10.5,51.1,0.6503
6.1,1438,1208,528,1405,1962,10.8,52.4,0.6767
6.7,1532,1356,474,1610,2033,10.6,55.3,0.7058
6.8,1522,1337,479,1578,2034,10.4,57,0.7167
6.7,1514,1338,474,1598,2018,10.2,58.3,0.7256
5.9,1505,1168,525,1447,2066,9.4,66.1,0.7816
5.6,1458,1123,540,1395,2030,9.6,65.9,0.7869
5.5,1431,1100,553,1385,1913,9.5,66.2,0.7882
2.53333,1332,997,601,1304,1783,9.1,68.7,0.7925
2.2,1243,924,648,1250,1534,9,69.8,0.8039
2,1251,924,644,1246,1568,8.9,70.5,0.8056
2.2,1259,944,631,1267,1622,8.9,70.4,0.8074
2,1268,926,645,1247,1628,9.1,69.6,0.8045
2.5,1288,956,623,1272,1553,9,70.8,0.8173
3,1410,1015,594,1319,1769,9.8,68.6,0.8324
2.8,1374,999,598,1316,1776,10.2,67.3,0.8373
3.4,1458,1090,553,1383,1898,10.7,65,0.8378
5.5,1609,1243,505,1491,2100,11.4,62.9,0.8454
4,1424,1090,566,1351,1896,12.2,61.1,0.8652
2.4,1331,966,633,1266,1745,12.1,61.8,0.8723
3.1,1434,1093,561,1366,1893,11.7,65.6,0.898
4,1542,1161,531,1435,1972,11.4,67.9,0.9119
4.6,1651,1234,501,1513,2020,11.2,70.8,0.9386
4.8,1633,1240,496,1555,1906,10.9,75.9,0.9868
6.2,1739,1333,460,1689,1832,11.3,78.3,1.0455
4.6,1523,1132,541,1488,1470,10.3,82.8,1.0369
4.5,1543,1174,521,1542,1494,10.4,82.5,1.0406
4.2,1469,1086,564,1485,1394,11,81.7,1.0727
2.6,1271,886,688,1321,1113,11.7,79.8,1.0964
1.6,1161,810,775,1281,958,11.6,80,1.0924
1.3,1053,680,890,1166,807,11.3,80.1,1.0741
0.5,900,522,1242,1070,471,10.8,78.7,1.0202
0.4,855,479,1319,1068,450,10.7,81.5,1.0497
0.3,848,464,1425,1062,438,10.9,80.3,1.0444
0.4,873,485,1305,1083,512,10.7,80.7,1.0377
0.6,945,569,1140,1135,632,10.5,81.8,1.0416
0.9,1003,618,1003,1159,754,10.4,82.9,1.0419
1.1,1041,659,908,1188,792,10.6,82.1,1.0451
1,1036,685,942,1168,776,11.5,72.6,0.9846
1.6,1124,799,775,1231,969,12.8,65.5,0.964
1.8,1130,803,772,1230,975,13.9,60.9,0.9644
1,991,632,981,1114,637,14.9,57.9,0.9726
0.8,988,596,1056,1118,541,14.8,63.5,1.0592
1.4,1163,801,772,1288,876,13.6,68.9,1.0699
2.1,1226,853,725,1307,1029,13.6,68.9,1.0661
2.3,1286,942,687,1362,1103,13.5,67.1,1.0357
3.5,1423,1116,553,1531,1369,12.3,75.4,1.0768
3.8,1408,1088,560,1504,1381,11.7,80,1.0938
2.4,1178,866,700,1342,1094,11.8,82.7,1.1381
1,985,701,877,1187,835,11.8,77.5,1.0741
1.3,1113,776,828,1217,881,12,72.3,1.0095
2.3,1178,873,700,1328,987,11.2,79.6,1.0587
1.5,1024,705,876,1168,807,11.5,74.2,1.0063
1.1,954,630,988,1107,664,11.6,68.9,0.9411
0.7,877,526,1171,1023,496,11.7,64.6,0.8888
0.4,826,465,1322,978,433,11.9,61.1,0.8527
0.5,862,535,1193,1020,524,12.5,57.3,0.8269
0.8,938,653,970,1100,747,12.3,60.1,0.8562
1.9,1205,943,688,1361,1052,11.5,68.7,0.9302
2.3,1171,978,637,1374,1092,12.5,63.2,0.9113
1.9,1131,926,684,1324,1036,12.9,63.2,0.9335
1.6,1074,832,748,1230,934,13.5,59.9,0.9261
1.4,1062,822,764,1228,917,13.4,61.3,0.9379
1.5,1045,800,796,1193,839,14.4,57.1,0.9309
1.4,1034,763,840,1192,761,15,57.2,0.9698
2,1186,899,695,1332,926,12.4,72.6,1.0422
2.5,1256,996,625,1417,1104,12.8,73.6,1.0851
2.2,1138,854,735,1276,911,13.3,68.2,1.0356
2,1138,891,721,1295,918,13.4,66.6,1.0187
2.1,1114,899,710,1279,948,13.3,63.6,0.9661
2.1,1107,905,705,1288,966,12.9,62.4,0.9258
2.1,1117,876,706,1264,1057,12.4,64.7,0.9266
1.6,1090,812,753,1213,1001,12.1,65.6,0.9222
1.1,954,665,916,1119,777,11.3,69.8,0.932
1.2,987,715,884,1145,797,11,68.7,0.9001
1.6,1275,930,649,1024,1617,5.3,50.7,0.4564
2.5,1173,878,738,1002,1355,5.9,50,0.4689
1.9,1054,791,830,967,1131,4.3,55.3,0.465
1.4,1004,753,879,942,1036,4.2,57.1,0.4759
1.5,1001,777,859,954,1009,3.5,58.3,0.4636
1.4,974,736,888,945,966,3,60.7,0.4667
1.1,915,653,973,905,901,2.6,63.2,0.4721
1,939,649,996,897,879,3.9,59,0.4807
1.2,973,748,878,968,991,4.7,57.2,0.4932
1.7,1011,782,846,992,1019,6.8,48.6,0.4822
2.3,1097,875,778,1080,1151,8.6,43.6,0.4887
2.2,1149,914,742,1072,1242,9.5,41.2,0.4908
2.4,1117,934,721,1075,1206,10.9,35.9,0.468
2.2,1085,896,760,1049,1138,12.5,32.3,0.467
2.1,1102,885,772,1051,1142,12.8,32.6,0.4814
3,1281,1053,659,1192,1438,10.9,39.7,0.5166
4.7,1472,1198,555,1344,1735,9,51.8,0.5961
3.6,1328,1029,637,1188,1611,8.1,54.1,0.5882
2.5,1198,897,720,1072,1436,7.8,54.6,0.5786
2.3,1176,905,718,1104,1389,6.2,59.6,0.5698
2.1,1118,830,765,1058,1313,5.7,59.9,0.5523
1.7,1091,773,820,1003,1232,5.6,59.7,0.5463
1.8,1078,775,809,1012,1195,4.7,62.9,0.5424
1.6,1043,726,875,972,1107,4.5,63.5,0.5411
1.3,992,685,916,963,1035,4.5,63.6,0.5414
1.3,947,673,929,974,929,3.2,68.3,0.531
1.1,923,634,984,943,875,3.1,69.2,0.5337
1,911,613,992,934,861,2.4,71.9,0.5288
1,924,629,994,941,852,3.1,68.7,0.5317
1.2,954,674,940,981,891,2.1,73.1,0.5289
1.3,960,704,887,1003,947,3.3,68.2,0.5346
1.6,1016,760,835,1044,1016,4.1,65.8,0.5451
2.2,1139,879,753,1092,1201,6.6,56.6,0.5528
2.2,1130,860,752,1058,1218,8,51.2,0.5516
2.8,1237,962,685,1138,1385,10.3,44.9,0.5612
2.1,1159,837,742,1087,1311,12.3,41.7,0.5961
1.6,1124,790,791,1071,1206,13.5,41.3,0.6342
2.8,1312,998,640,1249,1473,13.4,43.1,0.66
2.6,1246,936,665,1182,1460,9.9,53.3,0.6504
2.8,1232,931,674,1171,1627,8.9,54.6,0.6226
2.9,1286,996,644,1217,1827,8.9,54.8,0.6244
3.4,1347,1084,582,1290,2004,8.3,58.2,0.6391
1.7,1135,792,727,1170,1151,9.5,69.5,0.8261
1.9,1188,901,657,1261,1185,9.1,70.9,0.8176
2,1219,889,649,1186,1405,7.9,72.1,0.7679
1.7,1187,850,653,1169,1383,7.6,72.7,0.7598
1.8,1225,904,644,1194,1460,7.5,71.7,0.7439
2.2,1333,1019,576,1275,1612,7.9,70.6,0.7562
3.7,1489,1193,497,1475,1776,8.6,69,0.7732
4.8,1596,1341,436,1672,1991,9.1,67.5,0.7831
4.8,1585,1277,456,1567,1944,9.8,65.8,0.7967
5.2,1674,1376,438,1643,2098,11.2,61.9,0.8226
5.9,1741,1438,416,1741,2159,12.8,60.1,0.882
5.9,1680,1434,417,1790,2005,13.4,62.4,0.9513
3.1,1295,1090,553,1479,1441,14.3,61.2,0.9941
2.6,1288,1112,560,1492,1380,14.6,59.6,0.9824
2.8,1281,1111,553,1483,1409,14.2,60,0.9684
2.8,1310,1099,559,1481,1445,13.8,62.6,0.9862
2.8,1276,1099,559,1504,1388,13.6,64,0.9891
3.1,1312,1148,532,1525,1411,13.4,64.5,0.9865
3.3,1332,1146,539,1523,1377,13.5,64.7,0.9971
2.7,1248,1046,588,1404,1316,13.4,65.3,0.9967
2.3,1182,947,643,1334,1210,13.2,64.5,0.9732
1.6,1059,810,764,1200,1002,13.2,62.3,0.9392
1.6,1056,795,783,1187,896,12.5,63.7,0.9196
1.7,1064,785,769,1184,946,12.3,64.6,0.9229
1.6,1059,783,781,1188,877,12.5,63.8,0.9244
0.7,950,622,960,1093,643,12,64.6,0.906
0.9,1005,679,875,1120,745,10.7,69.5,0.8919
0.8,939,568,1037,1054,656,12.4,62.6,0.8994
0.7,961,629,1011,1114,682,12.3,62.7,0.8947
1.1,1017,712,827,1147,829,11.4,66.6,0.8948
1.5,1108,823,720,1247,961,11.1,70.2,0.9276
1.5,1122,803,733,1225,960,13.4,61,0.9348
1.6,1099,826,739,1223,940,15.9,52.2,0.9377
1.6,1124,805,726,1233,938,15.6,54,0.9515
2,1186,921,660,1310,1040,16.3,51.5,0.9462
1.7,1096,819,733,1238,904,16.5,50.8,0.9442
1.5,1120,829,725,1259,910,16.3,51.9,0.9535
2,1185,893,666,1312,1011,16.2,53,0.9687
1.9,1173,885,685,1288,1038,15.6,54.8,0.966
2.1,1221,935,642,1323,1144,14.5,57.5,0.944
2.8,1330,1063,578,1419,1352,14,60.1,0.9566
2.7,1325,1027,591,1394,1365,13.5,63,0.9686
2.4,1195,915,666,1295,1245,12.6,65.4,0.9529
1.6,1150,869,694,1252,1203,12,67.5,0.9413
1.7,1145,806,736,1207,1120,10.5,72,0.912
1.3,1041,729,819,1130,972,10,70.9,0.8706
1.4,1032,687,867,1109,878,9.8,70.7,0.8571
1.2,1010,661,881,1100,853,8,75,0.8098
1,944,617,944,1039,766,7,77.3,0.7782
0.6,862,540,1110,999,670,7.2,74.4,0.7581
0.7,909,567,1049,993,694,6.7,75,0.7418
1,965,659,973,1059,739,6.4,76.3,0.7389
1.7,1102,884,719,1218,940,6,78.5,0.7377
3,1226,1157,552,1464,1201,6.3,77.4,0.7452
2.4,1132,950,659,1253,1106,7.7,73.8,0.7769
2.2,1183,1013,632,1306,1186,10.2,61.5,0.7638
2.6,1211,998,605,1298,1302,11.3,58.1,0.7743
2.5,1253,1030,590,1351,1368,10.6,62.3,0.7981
3,1311,1088,563,1402,1452,11.1,62,0.8199
3.3,1341,1142,536,1454,1537,12.6,57.7,0.8387
3.8,1432,1195,509,1513,1651,13.3,56.2,0.8548
3.6,1404,1195,499,1501,1623,11.2,65.3,0.8639
5,1493,1337,466,1638,1742,8.8,74.6,0.8434
5.7,1478,1357,473,1652,1639,7.2,78.5,0.803
5,1411,1311,487,1589,1537,6.5,80,0.7789
4.8,1387,1231,523,1487,1463,5.8,83.8,0.7768
3.9,1306,1161,557,1407,1379,5.5,83.5,0.7619
3.3,1232,1035,623,1296,1256,5.8,81.3,0.7568
3.4,1277,1085,589,1329,1344,5.4,82.6,0.7495
2.4,1063,843,762,1125,1089,6.4,76.3,0.7369
1.4,991,744,863,1069,949,7,73.6,0.7417
1.2,972,674,926,1032,882,7.9,69.3,0.7413
1.2,973,675,903,1029,905,7.4,71.7,0.7434
1.2,985,691,878,1056,902,7.7,71.9,0.7575
1.3,1020,736,854,1069,923,8.1,68,0.7396
2.3,1192,978,638,1273,1210,6.7,77.1,0.7597
3.4,1325,1140,542,1403,1468,6.8,77.9,0.7756
3,1219,1026,604,1311,1329,8.9,66.7,0.7634
2.5,1195,992,632,1251,1295,11.6,54.1,0.7387
2.7,1230,1020,605,1301,1365,13.5,49.4,0.7598
2.8,1312,1087,567,1393,1452,13.8,50.9,0.796
3.6,1387,1127,530,1430,1615,13.4,55.9,0.8588
3.1,1375,1076,555,1377,1599,12.9,59,0.8736
4.3,1532,1265,482,1578,1777,13.3,59,0.8945
4.6,1531,1235,484,1541,1742,13,61.9,0.9224
4.3,1479,1196,498,1511,1739,12.5,63.6,0.9193
4.3,1521,1208,497,1549,1770,12.2,65.8,0.931
5.5,1616,1363,442,1701,1918,12.6,65.2,0.9474
3.4,1371,1105,553,1429,1581,13.3,63.6,0.9681
2.4,1198,943,647,1307,1291,13.5,62.6,0.9644
1.6,1102,813,764,1204,1000,14.1,59.6,0.9563
1.7,1120,826,750,1222,974,14,61.4,0.9773
1.6,1093,789,771,1206,949,13.5,63.4,0.9755
1.3,1112,791,764,1216,934,13.2,64.2,0.9706
0.66667,934,609,976,1094,581,13.7,61.1,0.9537
0.6,919,571,1017,1082,521,13.5,63.8,0.9801
0.6,929,556,1035,1094,575,12.5,67.3,0.9743
0.5,919,552,1063,1080,522,13.2,64.2,0.9664
0.6,944,586,977,1090,586,13.1,63.4,0.9535
0.7,943,580,980,1074,566,13.8,60.5,0.9526
0.9,1036,683,846,1144,693,13.7,60.4,0.939
1.5,1168,797,698,1235,1022,14,59.7,0.9495
1.9,1232,903,626,1313,1152,15,56.2,0.9539
1.9,1236,901,628,1311,1108,16.9,50.9,0.9714
2.2,1278,1070,557,1479,1110,16.6,52.4,0.981
3.8,1369,1242,476,1669,1306,16.4,53.2,0.9826
2,1182,929,648,1324,1029,16.1,52.8,0.9579
2.2,1210,933,648,1327,1094,15.7,54.4,0.9616
3.3,1316,1121,548,1488,1282,15.4,55.3,0.9616
2.7,1221,952,641,1334,1147,15.2,54.7,0.9362
2.6,1260,1034,588,1402,1208,14.7,56.6,0.9392
2.5,1231,962,625,1348,1192,14.4,58.2,0.9495
1.5,1115,804,734,1220,1136,14.3,59.2,0.9608
1.9,1180,877,680,1297,1131,14,60.4,0.9622
2,1174,873,672,1300,1071,13.7,63.6,0.9912
1.7,1178,876,666,1319,1059,13.1,68.7,1.0329
1.2,1052,704,807,1210,909,13.2,69.9,1.0526
0.6,960,532,1059,1122,724,12.9,70.4,1.0444
0.9,958,571,998,1138,707,12.4,72.5,1.0411
1.3,989,650,900,1171,768,13,70.3,1.0502
0.4,1162,843,685,1336,1027,12.3,73.3,1.0448
2.6,1523,1324,451,1776,1502,12.8,71.8,1.0551
3.5,1511,1334,433,1804,1606,13.1,70.2,1.0567
2.1,1420,1183,488,1626,1520,12.8,71.8,1.0551
2.1,1413,1193,484,1598,1566,13.1,70.3,1.0566
1.7,1335,1141,512,1536,1501,13.7,67,1.0446
2.6,1451,1298,452,1744,1634,14,65.4,1.0427
2.6,1410,1276,459,1701,1587,14.4,63.8,1.0421
2.4,1429,1277,456,1721,1560,14.1,65.9,1.0531
2.4,1409,1223,475,1640,1538,14.1,65.9,1.0552
2,1372,1210,484,1629,1491,14.1,66,1.0539
2,1366,1213,489,1611,1469,14,66.4,1.0536
3.1,1365,1192,492,1593,1486,13.8,66.4,1.0451
3.3,1385,1218,478,1620,1494,13.4,68.1,1.0441
3.3,1361,1137,503,1526,1471,13.2,69.1,1.0452
2.6,1312,1047,545,1430,1399,13,70,1.042
1.7,1177,871,660,1292,1192,12.7,69.9,1.0223
1.8,1205,888,647,1292,1187,12,71.9,1.0071
1.5,1114,757,744,1204,1070,13.2,66.8,1.0087
1.1,1047,708,816,1167,949,12.4,69.5,0.9986
0.7,992,644,899,1128,854,11.8,70.6,0.9731
0.7,977,629,908,1129,835,12.3,68,0.9734
0.9,1047,671,863,1147,887,12,69.2,0.9697
1.3,1126,775,760,1205,1019,11.7,69.8,0.9612
3.2,1474,1268,502,1677,1503,12.1,67.6,0.95
5.1,1526,1466,415,1855,1687,12.5,65.1,0.9399
3.7,1386,1158,518,1485,1553,12.8,62.5,0.9213
3.2,1392,1166,519,1488,1624,13.4,59.9,0.9143
3.1,1363,1192,499,1501,1637,13.4,57.9,0.8895
3,1331,1184,507,1508,1533,13.6,56.4,0.8754
3.6,1401,1261,479,1580,1577,13.8,56.3,0.8841
3.2,1374,1239,483,1569,1532,13.7,57.9,0.9063
3.9,1436,1299,451,1616,1621,13.6,58.9,0.9139
3.4,1386,1228,479,1546,1578,13.4,59.7,0.9142
3.9,1419,1277,459,1603,1631,13.3,61.2,0.933
3.6,1428,1288,465,1580,1629,13.2,61.8,0.9313
4.7,1508,1416,418,1773,1733,12.9,61.5,0.9139
4.1,1438,1251,470,1593,1622,12.6,63.9,0.9307
3.4,1415,1197,486,1539,1597,12,67.4,0.9417
3.5,1433,1186,479,1497,1738,11.9,69,0.9568
1.2,1208,964,602,1305,1350,12,66.6,0.9293
2.4,1280,1029,564,1366,1363,11.4,69.6,0.9373
2.1,1174,942,626,1296,1262,11.2,70.3,0.9323
0.86667,1002,722,807,1161,998,10.7,71.3,0.9161
1,1018,746,800,1171,958,10,74.8,0.9161
1.4,1095,868,676,1241,1078,9.2,78.5,0.9143
1.8,1182,951,634,1327,1143,8.8,79.4,0.9033
3.8,1478,1234,470,1606,1551,8.7,79.4,0.8944
4.1,1515,1298,434,1706,1669,8.9,76.5,0.8767
4.4,1488,1286,452,1648,1766,9.9,73.3,0.8936
3.5,1383,1196,497,1514,1717,11.8,65.5,0.901
3.5,1383,1218,497,1506,1738,13,60.9,0.9061
3.8,1337,1231,505,1518,1611,14.7,52.3,0.8687
3.1,1243,1155,546,1473,1398,15.1,49.6,0.8428
3.4,1304,1244,507,1558,1497,15.7,48.8,0.8657
3.3,1284,1216,522,1545,1415,15.8,48.9,0.8707
3.4,1303,1226,521,1554,1457,14.6,54,0.8946
4.7,1461,1440,440,1806,1669,14.3,56.3,0.9119
5.7,1517,1512,421,1902,1740,14.1,57.8,0.9262
5.6,1526,1492,428,1883,1770,13.1,62.9,0.943
5.9,1495,1386,457,1736,1734,12,67.5,0.9467
3.6,1333,1154,534,1441,1647,10.7,70.9,0.9113
2.5,1216,1020,605,1337,1379,10,73.2,0.8988
2.9,1232,1032,599,1347,1331,9.4,75,0.8874
2.5,1181,985,629,1312,1240,8.5,76.9,0.8557
1.7,1042,814,746,1167,1036,8.4,75.9,0.8407
1.1,915,695,883,1094,826,6.2,82.1,0.7825
0.9,891,666,931,1058,798,7,77.3,0.7759
1,937,694,915,1054,817,6.5,79.7,0.7751
1.6,1086,901,715,1216,1055,7.7,76.8,0.8112
3.1,1326,1190,531,1509,1391,8.2,74.9,0.8184
4.1,1469,1403,452,1780,1665,8.8,73.2,0.8298
3.9,1321,1170,532,1488,1539,9.7,70.1,0.8432
3.6,1396,1196,524,1492,1653,11.7,62.7,0.8586
3.2,1270,1077,583,1353,1586,13.1,58.5,0.877
2.2,1189,1025,626,1316,1332,14.2,54.1,0.8707
2.4,1227,1081,570,1396,1369,14.2,54.3,0.8757
2.7,1266,1118,564,1410,1373,14,56.3,0.894
2.7,1277,1175,531,1480,1397,13.5,57.8,0.8933
3.9,1438,1295,470,1620,1577,12.3,63,0.9015
5.2,1523,1470,414,1811,1783,11.4,68,0.9166
4,1384,1290,475,1571,1568,10.8,69.5,0.8995
2.9,1283,1093,581,1354,1356,11,67.1,0.8766
3.3,1304,1085,571,1385,1419,9.5,71.3,0.8458
2,1126,880,690,1202,1177,8.8,71,0.8089
1.8,1141,892,686,1213,1141,8,73.4,0.7899
2.7,1183,930,669,1210,1179,7.6,73,0.7629
1.8,1090,830,744,1125,1056,7.1,73.9,0.7515
1.3,1032,736,809,1064,973,7.1,73.5,0.7439
1.1,981,721,866,1059,836,5.1,81.3,0.7204
1.6,1104,851,687,1101,1085,4.3,82.9,0.6968
1.3,989,762,793,1076,959,5.3,80.4,0.7234
1.4,1079,869,732,1160,1039,5.7,79.3,0.7326
5,1472,1418,459,1681,1554,6.8,74.8,0.7423
4.3,1313,1206,513,1469,1546,6.9,75.2,0.7505
4.1,1363,1229,515,1490,1638,8,71.9,0.7712
3.8,1347,1212,527,1443,1568,9.3,67.1,0.7849
3.1,1240,1140,567,1388,1433,10.2,63.6,0.7928
3.3,1280,1222,526,1519,1452,11,60.9,0.7966
3.1,1210,1151,569,1428,1345,11.3,60.1,0.8022
2.7,1216,1134,566,1403,1336,12.2,56.9,0.8068
3.4,1320,1207,535,1498,1442,11.9,59.1,0.8211
5,1477,1412,450,1704,1748,10.3,66.3,0.8286
5.7,1500,1458,428,1750,1776,8.2,74.9,0.8187
5.8,1512,1463,435,1720,1802,7.9,77.1,0.8223
5.8,1496,1447,435,1710,1796,8.3,75,0.8253
5,1360,1246,513,1504,1600,8.2,75.2,0.8185
1.7,1024,819,782,1101,1083,8.3,69.7,0.7632
1.6,1094,845,780,1127,1064,6.7,74.4,0.7344
2.3,1111,877,735,1142,1104,6.4,74.9,0.7238
2.4,1097,878,737,1140,1053,4.9,80.1,0.7011
2,1051,820,778,1087,1009,4.8,79.4,0.6872
1.06667,978,756,834,1015,878,2.4,86.6,0.6369
1.1,902,659,940,972,800,3.4,81.4,0.6425
1,957,641,1013,940,784,4.2,77,0.6439
1.3,973,728,902,1004,854,3.5,80.8,0.6406
1.9,1074,967,703,1201,1065,3.5,80.3,0.6366
2.6,1115,1012,650,1230,1161,4,78.5,0.645
2.7,1136,1001,653,1216,1192,4.5,76.6,0.6534
2.4,1128,977,673,1199,1202,5.6,72.3,0.6627
2.7,1196,1035,633,1259,1338,7.5,64.4,0.672
3.1,1267,1166,567,1382,1505,8.9,60.8,0.6921
4.4,1355,1244,536,1454,1715,10.6,55.3,0.7058
3.2,1194,1061,622,1257,1473,12.3,46.3,0.6597
2.9,1188,1029,635,1243,1433,12.2,47,0.6686
3,1279,1154,573,1391,1544,10.5,55.1,0.6993
3.7,1361,1223,525,1454,1648,8.7,66.3,0.7491
5.2,1474,1319,496,1524,1784,7.9,69.9,0.7487
3.3,1235,1078,616,1265,1519,7.6,65.3,0.6842
3.6,1289,1140,590,1317,1532,6.5,67.6,0.6608
2.3,1124,910,717,1112,1340,5.9,66.4,0.6226
3,1231,1017,655,1207,1414,5.2,70,0.6232
3.8,1289,1104,623,1257,1499,5.2,67.8,0.6028
3.2,1166,970,705,1136,1306,4.9,67.1,0.5863
2.1,1062,884,748,1062,1172,5.1,65.5,0.5811
1.7,1003,807,819,1021,1005,3.7,68.9,0.5549
1.4,929,721,923,956,913,4.5,62.7,0.5343
1.2,951,737,910,977,922,4.7,62.3,0.5368
1.4,1011,783,835,1013,1026,3.9,67.1,0.5483
1.4,939,751,898,984,952,5.7,54.5,0.5034
1.7,946,827,876,1037,915,6.1,50.3,0.4769
1,841,625,1054,846,687,9,39.5,0.4554
1,850,629,1076,847,597,10.7,34.4,0.4406
0.8,831,602,1123,824,527,11.1,33.4,0.4401
1,866,652,1060,857,573,11.9,30.8,0.4285
0.8,819,576,1142,809,492,11.4,32,0.431
0.7,833,584,1144,821,463,11.3,32.5,0.4334
1.1,877,642,1037,859,565,11,33,0.4331
1.1,892,668,1017,872,632,10.3,35,0.4377
1.2,899,674,1002,893,691,8.4,40.9,0.4542
2,1008,861,839,977,943,8.3,38.5,0.4228
2.2,1013,873,820,984,985,8.1,37.9,0.41
1.5,912,730,959,893,821,7.7,39,0.4106
1.2,907,705,995,880,767,7,41.5,0.4193
1.5,953,771,905,936,895,6.6,42.6,0.4179
1.4,916,701,954,899,791,6.4,44.2,0.428
1.2,894,682,991,881,770,6,46,0.4349
1,895,648,1001,875,839,4.4,53.1,0.4484
0.7,837,512,1228,836,720,3.7,55.8,0.4489
0.5,795,504,1258,840,682,2.6,58.6,0.4385
0.7,874,552,1162,857,723,3.2,56,0.4364
1,920,667,1005,916,813,3.6,55.4,0.4419
3,1257,1176,612,1357,1365,1.8,63.3,0.4464
4.1,1222,1239,574,1346,1472,2.4,60.2,0.4426
3.1,1196,1139,617,1271,1497,4.6,52.1,0.4472
3.8,1214,1153,612,1244,1626,8.2,40.5,0.4414
2.7,1149,1096,639,1219,1476,10.5,34.7,0.4393
3.1,1166,1134,603,1227,1531,11.1,33.3,0.4384
3.1,1170,1138,611,1233,1503,11.1,32.6,0.4292
3.2,1176,1209,588,1264,1488,12.4,28.3,0.4076
3.3,1147,1158,615,1200,1435,12.9,24.5,0.363
4,1294,1330,535,1363,1725,11.4,28.7,0.3865
8.6,1683,1831,374,1964,2331,9.2,39.3,0.4573
8.7,1615,1712,384,1811,2312,7.8,48.1,0.5115
3.6,1256,1201,563,1251,1699,7.2,50.6,0.517
3,1205,1098,610,1170,1587,6,53.3,0.5008
1.9,1087,926,715,1053,1390,5.3,55,0.4921
1.9,1092,875,751,1010,1347,4.2,58.1,0.4832
1.6,1039,845,775,993,1268,3.4,60.9,0.4809
1.4,1001,762,850,948,1155,3,60.2,0.4639
1,925,677,958,901,1024,3.2,58.8,0.4578
0.6,873,592,1076,869,915,4.5,53.8,0.4572
0.8,880,618,1023,893,928,3.1,59.7,0.4604
0.9,950,680,936,914,1028,4.2,57.1,0.4743
1.5,1039,855,783,1025,1210,3.4,58.5,0.4608
3.1,1284,1204,599,1337,1531,3.9,57.3,0.4661
5.1,1350,1305,509,1383,1745,4.3,56.8,0.4768
5.8,1476,1428,477,1536,1974,5.6,52.9,0.4841
3.8,1342,1215,542,1332,1806,5.5,54.9,0.4985
